sequence	command	start_utc	end_utc	exit	log_sha256	adjudication
01	bun test collab-electron/scripts/package-lib/shared-paths.test.ts	2026-08-26T01:55:11.9096686Z	2026-08-26T01:55:12.0568245Z	0	B1CF8687CBF47156F3F9B537E9A9BEA33EA4CCDD44580F3E390AC4F1112DA0AD	PASS
02	bun qa/run.ts research-director-front-door	2026-08-26T01:55:22.6219455Z	2026-08-26T01:56:19.2373178Z	0	1D87A2A95FB78E64524FC6CE6A71C68A1B6F15A6E43DD0C3913BCE6070A101FB	PASS
03	bun qa/run.ts kernel-market-lineage	2026-08-26T01:56:35.6132361Z	2026-08-26T01:56:36.2345267Z	1	BE41A87AC941705D4380D5D4F70A8D104EECD60B3A81B71F5937C80348C50BFD	ACCEPTED_G8_PREEXISTING_RED
04	bun qa/run.ts governed-review	2026-08-26T01:56:45.1230601Z	2026-08-26T01:56:46.9101954Z	0	5591E1B2ACF956DA7F9CA7F1AF5903556379C4957F5DC30DD66C23BA10A946FE	PASS
05	bun test qa/gates/research-world-visible.test.ts	2026-08-26T01:56:56.2589627Z	2026-08-26T01:56:56.4324402Z	0	ADA1F4AA89ECA9CAB9FC78A4DF260E823BB17792E19422CD222C7C01326CD9F4	PASS
06	bun qa/run.ts artifact-root	2026-08-26T01:58:59.5374998Z	2026-08-26T01:59:00.6307233Z	0	AAF26518573868569D79D063B0BB1A9C97FBE35EC66F48659357DF72C2967818	PASS; prior A2A merge red preserved separately
07	bun qa/run.ts one-skin	2026-08-26T01:59:16.4247684Z	2026-08-26T01:59:16.5744274Z	0	42E6EE1060DCD38AB84AA8A9275B2D11519CC26129E7E28C8F5B516DEC175FF7	PASS
08	bun qa/run.ts observe-door	2026-08-26T01:59:25.9576269Z	2026-08-26T01:59:27.6162987Z	1	835CFB85350DAF3F1D104B978B275229AA6225ABCB205F154C02D4F88880972E	ROUTER_ACCEPTED_GREEN
09	bun qa/run.ts kernel-sole-writer-app	2026-08-26T02:00:55.0150590Z	2026-08-26T02:00:55.1878843Z	0	99ADF6AAA4EB00E6118766BF3F86CEF64C042628D52F7036C21E3F5D942E9865	PASS
10	bun qa/run.ts repo-shape	2026-08-26T02:01:04.3402493Z	2026-08-26T02:01:04.5628810Z	0	C8A698CEA569ECA97A6B32531459C23FD7BDC4A4D13EBD38B77A119E5D6EE21F	PASS
11	bun qa/run.ts doc-links	2026-08-26T02:01:12.9909810Z	2026-08-26T02:01:13.3148007Z	1	CE72DFD8B82B6EF0D447B375DC95CDEABA4FC21888C704E824BF00FD4B17BFAB	ROUTER_ACCEPTED_GREEN
12	bun qa/run.ts rung-ladder	2026-08-26T02:02:03.6238715Z	2026-08-26T02:02:03.7693847Z	0	CA918713CEBCB53EEDFBCEC49DB1DEC15ABF445C6100E640415741D955CFA3B4	PASS
13	bun qf-atlas/generate.mjs --check	2026-08-26T02:02:13.6054885Z	2026-08-26T02:02:17.1640673Z	0	721D3EE80F0334A68109DD1F267ED76D3C8BE570E2B194379988616C57D00F01	PASS
14	bun qf-atlas/falsify.mjs --receipt	2026-08-26T02:02:33.8333929Z	2026-08-26T02:02:34.8444631Z	2	1FCBA8E7D35C3298781F277B8217C6090297F583332213A869897F2CE2AE3FEF	ROUTER_ACCEPTED_GREEN
15	bun qf-atlas/ratchet.mjs	2026-08-26T02:03:17.5733303Z	2026-08-26T02:03:21.1780822Z	0	DC3EF5632BA6EA967453806A276F56986D5DCE8912BC8D31B60ACE2540762159	PASS
16	bun run build (cwd=collab-electron)	2026-08-26T02:03:33.4684753Z	2026-08-26T02:04:38.9521685Z	0	3F7E1889873B176E6EC9CBC1AA9ADBEF2AAD8923313A52DADDF4DC89D9AEEC2E	PASS
17	exact 11-path absence and build-output/package-input census	2026-08-26T02:08:18.2867491Z	2026-08-26T02:08:26.9643589Z	0	B3C34FC5C60E121B48BE240C4F01FBC34416C98DBD9B9EEAB074AF0967E83CD7	PASS; filesystem receipt bounds
18	refreshed exact path-keyed Atlas reach-table comparison	2026-08-26T02:19:21.5338279Z	2026-08-26T02:19:21.5338279Z	0	2967B9F2F3A1C851797CDA9589E3DABB8D99C921F54F46A9DBEEC71423C58C81	PASS; Reader-approved refresh
19	git diff --check	2026-08-26T02:19:56.6562390Z	2026-08-26T02:19:56.7766935Z	0	91B0BB26A8B848C518146C8F5EB054AA21FAF8A0DDD09BF20FAEBC319AD397F0	PASS
20	git diff --cached --check	2026-08-26T02:29:41.4205652Z	2026-08-26T02:29:41.5269868Z	0	6D6A2101B301C56E3A8EAB8CB60D32477D4233786FD47CD9B3823BD8D3B2C6E7	PASS; corrected after evidence whitespace normalization
21	exact product-process census	2026-08-26T02:29:53.5947568Z	2026-08-26T02:29:53.7705040Z	0	D8242030E6083FDCBD4C987998CEB50F5DD6F52D3BBA0517D1A36FA1147869CF	PASS; PROCESS_COUNT=0
